Date,Observed,"10,1,0+t","10,1,0+None","8,1,2+t","10,1,1+t","8,1,2+None","10,1,1+None","9,1,2+t","4,1,8+t","9,1,2+None","9,1,1+t","4,1,8+None","9,1,1+None","4,1,6+t","9,1,0+t","9,1,0+None","9,1,3+t","10,1,2+t","9,1,3+None","2,1,5+t","2,1,5+None","10,1,2+None","4,1,5+t","0,1,10+t","4,1,5+None","0,1,10+None","4,1,9+None","2,1,6+None","1,1,10+t","2,1,9+t","6,1,2+None","2,1,9+None","10,1,3+None","1,1,10+None","2,2,6+None","2,1,8+t","2,1,8+None","3,1,9+t","3,1,8+t","3,1,9+None","2,1,10+t","1,1,9+t","1,1,9+None","3,1,8+None","0,1,9+None","0,1,9+t","2,2,8+None","3,1,10+t","8,1,1+t","6,1,1+t","6,1,1+None"
2023-10-25,340.670013,327.67347899699666,327.08584162324104,327.6193252070068,327.0908260673081,326.98716149107935,326.55995435045924,327.61084409626346,327.422195323123,326.9997349040083,327.87158473971533,326.8095418398173,327.2989072059817,327.48514327094085,327.9852347957198,327.42314193938313,327.6317696549386,327.09655691658395,327.0473553289096,327.52579731284965,326.93354486743493,326.58038423621116,327.7499844494975,327.4697301664711,327.18024747972146,326.8856496530272,326.7018251406844,326.9215251393764,327.08670912290097,327.74736058150296,326.9130059255213,327.1532488940538,326.6028556660038,326.54724630069205,327.49682307520186,327.72830710578893,327.10380509627703,327.78032036831314,327.7643733079348,327.19837828969594,327.0658405483719,327.9361472169114,327.36235939946516,327.14680609172706,327.55526897681517,328.12201934241887,327.50801032768493,327.7415874686085,328.0159325780917,328.00015844593315,327.3964080983119
2023-10-26,327.890015,327.5844467194928,326.8074269611431,327.3129083851238,326.8517508174433,326.4849821560487,326.1464784115469,327.40200723657034,327.3606299477668,326.60890490668316,327.74358573636937,326.54991126379423,326.9931085216841,327.8411518781503,327.74696864902234,327.01127834254794,327.4145380091808,326.8590709318997,326.6507996164826,327.65149139111077,326.8772899012636,326.1682735254194,328.00860091204936,327.1304335335267,327.267802368243,326.356258814754,326.4420703128525,326.78120176122,326.67867748004494,327.34800290764434,326.9191438979694,326.57057723611155,326.2231961770385,325.955354842491,327.61957806947885,327.2052639686724,326.38658473692425,327.37229684051584,327.2969720448573,326.6090875233131,326.6510308450388,327.57408982734336,326.82118697022486,326.4836971195847,327.0253132384423,327.77449771873717,327.512050575495,327.3418701352633,327.92653536797116,328.07297868930635,327.28587244850814
2023-10-27,329.809998,328.37851258055565,327.4173267696292,328.40216401808846,327.64648853611504,327.3765108378322,326.75809335776677,328.45506717833905,328.11865723125095,327.4679267840163,328.43694411729155,327.1040696967824,327.514110363263,327.8868217308368,328.35183338763323,327.44743718136027,328.4991660247507,327.65797433801924,327.5516685485467,327.790895197068,326.8500036546729,326.79524912364104,327.63764035478755,328.34123333168566,326.72301469165524,327.37249411951973,327.4056654980009,327.0169852983453,327.8502912359015,328.6245547625706,326.94904204045616,327.66430633845977,326.8636641331258,326.9375325827781,327.757246325825,328.324905825679,327.3017405998023,328.6513015244315,328.44179000393336,327.70458963196535,327.8169367405768,328.59882315779384,327.6701831552205,327.425536736839,327.6052559156178,328.5241589699607,327.9628424613487,328.6171753630394,328.227685597289,328.1470756773444,327.1761290716689
2023-10-30,337.309998,330.06336608810494,329.85881435929923,329.6518184764504,330.1181976533927,329.43324211728833,329.89888625137894,329.6284300358818,329.7074007275527,329.4168947187995,330.17802738422614,329.50798081792436,329.97471951914974,330.17216944472904,330.3121546084576,330.11169029386946,329.61508039479867,330.1207185255285,329.4085012382463,330.2184944411326,330.0113518046074,329.91339803217915,330.68503479217713,329.509446391622,330.4794499380936,329.3092375806847,329.1623181976302,329.75559904748997,329.70091536726454,329.4603313541987,329.8879427608031,329.2450178906787,329.9455754710951,329.471259067408,330.21628135404563,329.53011889259153,329.30679156031766,329.49677454974005,329.5457865841112,329.2875735760052,329.68391018526654,329.73354900023475,329.52697475318354,329.32687726061937,330.0089747575754,330.2159077996038,329.8423171625017,329.45793475212463,330.37912855273146,330.32081608333186,330.1137848270676
2023-10-31,338.109985,329.96764992983844,329.5693037732063,330.1267743568392,329.91577741834055,329.71559195721335,329.5041930287833,329.94762826899165,330.2834024836128,329.537315911162,330.09180241122266,329.8934669859476,329.70379514610437,330.22177125427464,330.1868518873373,329.8056349830317,329.9013565511117,329.91714644140995,329.5015625532451,330.6025632815997,330.20312539667236,329.50732501145654,330.7723447099204,329.8730196787771,330.3958936743819,329.46752329849494,329.2980031054244,329.93516820686335,329.82101106408237,329.7961692853653,329.9486684311386,329.3877662732538,329.535375086408,329.4122993782154,330.5914823510002,330.0284420611509,329.6152998899003,329.78811950448903,329.9495471562893,329.384632163331,329.8220293732798,330.0884695419911,329.6933447241106,329.5348250489527,329.84577700901855,330.2379755242649,330.3150428237971,329.79487456660473,330.49265834175526,330.3826783887208,329.9921448525481
2023-11-01,346.070007,330.82392776660697,330.237222140716,331.0265870040288,330.7309607664985,330.4208841776901,330.1308475511728,330.9593363176379,330.43273381738675,330.367810358668,330.84407401972805,329.84451723313333,330.2809918852997,330.41895906399964,330.8361480971446,330.2835220261997,330.85874686750867,330.7318743201985,330.2771107831563,330.99564067906795,330.4085387264361,330.1343750133891,331.5601723160556,330.1281493176648,330.990548878284,329.5331910092412,329.50381461384364,330.15486895554056,330.1273143617418,330.52948718926285,330.23415134436533,329.92471220269556,330.14558499560286,329.52152686314497,330.9795028382449,330.88120354901775,330.27074320849806,330.5335383190006,330.8369872889458,329.9424864988069,330.1182419202209,330.2845353318417,329.70768852650957,330.23466341489564,330.015493978056,330.59077166150416,330.7559532209167,330.5306705107056,331.26447933144425,331.0166026668172,330.43810307486706
2023-11-02,348.320007,329.305940206811,328.54117406227357,329.2035798790966,329.2966000914107,328.4148589852647,328.5037275116179,329.1116183636576,329.2490331754086,328.3425073800271,329.31486771590716,328.46980221846496,328.58078019747813,329.8191613572818,329.39556846074095,328.67329417929585,329.02003450471375,329.3010842521993,328.26387979050537,330.23106598959754,329.4757567643329,328.52195344275606,329.7544275721372,329.1961288002009,329.02321672001256,328.4177816197623,328.1058872150333,329.3537805405948,329.25351689115826,329.044634632415,329.4811626629028,328.27841522210895,328.5459344159985,328.4531471838981,330.2180474392395,329.3244213522844,328.5327272313381,328.9732557111994,329.24831223313515,328.2073974421377,329.23993024582416,329.30240587982655,328.5524556146675,328.45701229426,328.8296520523165,329.57792233126514,330.09815848714965,329.045340391682,329.96310934313203,329.9817320579141,329.2111843898565
2023-11-03,352.799988,331.24988994906795,330.3061109499602,331.13780141180433,331.2450178799511,330.14737447818,330.2638280104367,331.2245630759189,331.2385215756946,330.27070715845946,331.1685133241418,330.26160382322587,330.2677714448084,331.8947333760909,331.07410058621593,330.18985432322876,331.17055763055936,331.24759109899884,330.2400146492363,331.8266336994952,330.898913692677,330.2757704866696,331.6365374598661,330.89268063351744,330.73564417484687,329.92345729998203,330.20875111194636,330.81809789900706,330.9311432986845,330.89838361652414,330.81173794292675,329.9447715405802,330.30731946428875,329.9410852516551,331.8117487085373,331.0688263902735,330.0785202847671,330.8901819248522,330.94226010443396,329.9479921546673,330.9173974893717,330.7066506300819,329.791492997247,329.9487218963518,329.83440842165214,330.7459976034885,331.7037516501748,330.9004417090227,331.5190877854091,331.8454377397417,330.88917850981
2023-11-06,356.529999,351.83136457069907,351.6806280727602,351.43237459639386,351.95971641364724,351.25120785797907,351.7871782383592,351.5443083941907,351.45400171422466,351.3797799047848,351.85562635719117,351.2891164896013,351.7081874981768,351.10599880680564,351.94950009067986,351.80363550658956,351.62684257936894,351.96274614653555,351.4733538805881,350.95966965530386,350.7849928395309,351.79831681068885,352.2848796926179,351.8267903647362,352.0899755938995,351.6815424304586,351.336906914005,350.4906984616964,351.9460425128722,351.82641613151736,350.6735407385669,351.6745868403056,351.80472749102614,351.7812243809416,350.9981895114611,351.36681045042224,351.1763030780814,351.85391079859795,351.715766723761,351.70731306366787,351.9411645090381,351.8844081065779,351.7412159286272,351.5453106677498,351.93008333135907,352.07274313296443,350.69523676662106,351.82242469963956,351.28678534104824,351.196108316773,351.0430566624576
2023-11-07,360.529999,352.8134162998085,352.51906019865396,352.4431754832236,352.9376259000468,352.11433873252236,352.6078085189198,352.293736324253,352.7286396076784,351.96924423490555,352.97171111266914,352.4114108610006,352.67963517609405,351.8051621260854,353.07661901483846,352.7921966717786,352.404476515736,352.93864290600493,352.10108676556814,352.1787301161412,351.8516708499643,352.6108182179477,353.01336311670036,352.65791992842475,352.6522748364142,352.37577862063625,352.12773760603295,351.67793815705045,352.74091863170315,352.37797347849323,351.63778931452134,352.0853216249402,352.618130704358,352.4371523381874,352.25157662878297,352.31258668476977,351.9849574661263,352.4081535654568,352.3068338498142,352.1145692414728,352.74882918176434,352.972776052499,352.6886973276633,351.9804275425371,352.7732129497101,353.0477493094569,352.17295465327777,352.3720326912691,352.2894029169818,351.6007391318195,351.2844118836465
